Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_requests_srcunit_l1_aperture_peer_op_write_lookup_hit                # of LTS requests from unit L1 accessing peer memory (peermem) for writes that hit                  
l1tex__texin_requests_mem_surface_op_ld                                     # of requests sent to TEXIN for surface load instructions (SULD)                                    
lts__t_sectors_op_membar_lookup_miss                                        # of LTS sectors for memory barriers that missed                                                    
l1tex__data_bank_conflicts_pipe_lsu_mem_global_op_atom                      # of data bank conflicts generated by global atomics                                                
lts__t_requests_srcunit_tex_aperture_device_op_atom                         # of LTS requests from unit TEX accessing device memory (vidmem) for all atomics                    
l1tex__t_output_wavefronts_pipe_lsu_mem_global                              # of wavefronts sent to Data-Stage from T-Stage for global memory instructions                      
lts__t_requests_srcunit_tex_lookup_miss                                     # of LTS requests from unit TEX that missed                                                         
l1tex__t_sectors_pipe_tex_mem_surface_op_ld                                 # of sectors requested for surface loads                                                            
lts__t_requests_srcunit_l1_aperture_peer_op_membar                          # of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers                  
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas                    # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS                       
lts__t_sectors_srcunit_tex_op_read                                          # of LTS sectors from unit TEX for reads                                                            
smsp__inst_executed_pipe_tex                                                # of warp instructions executed by tex pipe                                                         
smsp__mio2rf_writeback_active_pipe_lsu                                      # of cycles where the MIO to register file writeback interface was active for LSU return data       
gpc__cycles_elapsed                                                         # of cycles where GPC was active                                                                    
lts__t_requests_srcunit_tex_op_red_lookup_miss                              # of LTS requests from unit TEX for reductions that missed                                          
tpc__cycles_in_region                                                       # of cycles in user-defined region                                                                  
lts__cycles_in_region                                                       # of cycles in user-defined region                                                                  
lts__t_sectors_srcunit_l1_aperture_device_op_atom_dot_cas                   # of LTS sectors from unit L1 accessing device memory (vidmem) for atomic CAS                       
lts__t_requests_srcunit_l1_aperture_peer_op_membar_lookup_hit               # of LTS requests from unit L1 accessing peer memory (peermem) for memory barriers that hit         
smsp__sass_l1tex_pipe_lsu_wavefronts_mem_shared                             # of shared memory wavefront processed by Data-Stage                                                
lts__t_sectors_srcunit_l1_op_read_lookup_miss                               # of LTS sectors from unit L1 for reads that missed                                                 
lts__t_sectors_equiv_l1tagmiss_pipe_tex_mem_surface_op_red                  # of sectors requested for surface reductions                                                       
tpc__warp_launch_cycles_stalled_shader_cs_reason_cta_allocation             # of cycles where CS warp launch was stalled due to cta allocation (non-exclusively)                
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_texture_op_tex                 # of bytes requested for TEX instructions                                                           
l1tex__t_bytes_pipe_lsu_lookup_hit                                          # of bytes requested with tag-hit and data-hit for LSU pipe local/global                            
lts__t_sectors_srcunit_tex_aperture_device_op_membar                        # of LTS sectors from unit TEX accessing device memory (vidmem) for memory barriers                 
lts__t_requests_aperture_sysmem_op_read                                     # of LTS requests accessing system memory (sysmem) for reads                                        
lts__t_sectors_srcunit_l1_aperture_device_op_red_lookup_miss                # of LTS sectors from unit L1 accessing device memory (vidmem) for reductions that missed           
l1tex__t_sectors_pipe_lsu_mem_global_op_red_lookup_hit                      # of sector requests to T-Stage with tag-hit and data-hit for global reductions                     
l1tex__t_sectors_pipe_tex_mem_texture_lookup_hit                            # of sector requests to T-Stage with tag-hit and data-hit for texture                               
smsp__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on                  # of DADD, DMUL and DFMA thread instructions executed where all predicates were true                
smsp__warps_issue_stalled_lg_throttle                                       cumulative # of warps waiting for a free entry in the LSU instruction queue                         
smsp__warps_issue_stalled_dispatch_stall                                    cumulative # of warps waiting on a dispatch stall                                                   
l1tex__t_bytes_pipe_lsu                                                     # of bytes requested for LSU pipe local/global                                                      
lts__t_sectors_srcunit_tex_aperture_peer_op_red_lookup_miss                 # of LTS sectors from unit TEX accessing peer memory (peermem) for reductions that missed           
lts__t_requests_aperture_peer_lookup_miss                                   # of LTS requests accessing peer memory (peermem) that missed                                       
lts__cycles_elapsed                                                         # of cycles elapsed on LTS                                                                          
lts__t_requests_aperture_sysmem_op_red_lookup_miss                          # of LTS requests accessing system memory (sysmem) for reductions that missed                       
lts__t_sectors_aperture_device_op_atom_lookup_miss                          # of LTS sectors accessing device memory (vidmem) for all atomics that missed                       
l1tex__t_requests_pipe_tex_mem_surface_op_ld                                # of requests sent to T-Stage for surface loads                                                     
l1tex__t_bytes_lookup_hit                                                   # of bytes requested with tag-hit and data-hit                                                      
lts__t_sectors_aperture_sysmem_op_read_lookup_hit                           # of LTS sectors accessing system memory (sysmem) for reads that hit                                
lts__t_sectors_srcunit_l1_op_read                                           # of LTS sectors from unit L1 for reads                                                             
l1tex__m_l1tex2xbar_write_sectors                                           # of sectors written to L2                                                                          
l1tex__t_set_conflicts_pipe_lsu_mem_local_op_ld                             # of extra cycles spent on set conflicts for local loads                                            
lts__d_sectors_fill_sysmem                                                  # of sectors filled from system memory                                                              
lts__t_tag_requests                                                         # of tag requests sent to LTS                                                                       
lts__t_sectors_equiv_l1tagmiss_pipe_lsu_mem_local_op_ld                     # of sectors requested for local loads                                                              
smsp__inst_executed_op_generic_ld_pred_off_all                              # of warp instructions executed with all threads predicated off: LD                                 
lts__t_sectors_srcunit_tex_aperture_sysmem_op_write                         # of LTS sectors from unit TEX accessing system memory (sysmem) for writes                          
l1tex__m_l1tex2xbar_write_bytes_mem_lg_op_st                                # of bytes written to L2# of sectors written to L2 for local/global stores                          
l1tex__t_requests_pipe_tex_mem_surface_op_atom                              # of requests sent to T-Stage for surface atomics                                                   
l1tex__t_sectors_pipe_tex_lookup_miss                                       # of sector requests to T-Stage that missed for TEX pipe                                            
lts__t_sectors_aperture_sysmem_op_read_lookup_miss                          # of LTS sectors accessing system memory (sysmem) for reads that missed                             
smsp__pipe_tensor_op_imma_cycles_active                                     # of cycles where IMMA tensor pipe was active                                                       
lts__t_requests_op_read_lookup_miss                                         # of LTS requests for reads that missed                                                             
lts__t_requests_op_red_lookup_hit                                           # of LTS requests for reductions that hit                                                           
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_red                      # of wavefronts sent to Data-Stage from T-Stage for surface reductions                              
smsp__inst_executed_op_surface_st_pred_off_all                              # of warp instructions executed with all threads predicated off: SUST                               
lts__t_requests_srcunit_tex_aperture_sysmem_op_write_lookup_miss            # of LTS requests from unit TEX accessing system memory (sysmem) for writes that missed             
lts__t_requests_srcunit_tex_aperture_peer_lookup_hit                        # of LTS requests from unit TEX accessing peer memory (peermem) that hit                            
l1tex__t_output_wavefronts_pipe_tex                                         # of wavefronts sent to Data-Stage from T-Stage for TEX pipe                                        
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu_lookup_miss      # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS) that missed
lts__t_sectors_srcunit_tex_op_atom_dot_alu                                  # of LTS sectors from unit TEX for atomic ALU (non-CAS)                                             
smsp__sass_thread_inst_executed_op_hmul_pred_on                             # of HMUL thread instructions executed where all predicates were true                               
lts__t_tag_requests_miss                                                    # of LTS requests with tag miss                                                                     
lts__t_requests_srcunit_l1_aperture_device_op_atom                          # of LTS requests from unit L1 accessing device memory (vidmem) for all atomics                     
lts__t_sectors_srcunit_tex_op_membar                                        # of LTS sectors from unit TEX for memory barriers                                                  
sm__mio_pq_write_cycles_active_pipe_tex                                     # of cycles where register operands from the register file were written to MIO PQ, for the tex pipe 
lts__t_requests_aperture_device_op_red_lookup_hit                           # of LTS requests accessing device memory (vidmem) for reductions that hit                          
l1tex__t_bytes_pipe_tex_mem_surface_op_ld_lookup_hit                        # of bytes requested with tag-hit and data-hit for surface loads                                    
lts__t_sectors_srcunit_l1_aperture_device_op_read_lookup_miss               # of LTS sectors from unit L1 accessing device memory (vidmem) for reads that missed                
lts__t_sectors_srcunit_tex_aperture_device_op_atom                          # of LTS sectors from unit TEX accessing device memory (vidmem) for all atomics                     
sm__inst_executed_pipe_tex                                                  # of warp instructions executed by tex pipe                                                         
fe__output_ops_type_bundle_cmd_go_idle                                      # of GO_IDLE bundles sent to GR from FE                                                             
l1tex__texin_requests_mem_surface                                           # of surface requests sent to TEXIN                                                                 
l1tex__t_bytes_pipe_lsu_mem_global_op_ld_lookup_miss                        # of bytes requested that missed for global loads                                                   
smsp__sass_thread_inst_executed_op_misc_pred_on                             # of miscellaneous instructions executed where all predicates were true                             
l1tex__t_set_accesses_pipe_tex_mem_texture_op_ld                            # of cache set accesses for TLD instructions                                                        
idc__requests                                                               # of IDC requests                                                                                   
lts__t_sectors_op_atom_lookup_hit                                           # of LTS sectors for all atomics that hit                                                           
lts__t_sectors_op_red_lookup_miss                                           # of LTS sectors for reductions that missed                                                         
l1tex__t_requests_pipe_lsu_mem_global_op_st                                 # of requests sent to T-Stage for global stores                                                     
lts__t_requests_aperture_sysmem_op_read_lookup_hit                          # of LTS requests accessing system memory (sysmem) for reads that hit                               
lts__t_sectors_srcunit_l1_aperture_sysmem_op_red_lookup_hit                 # of LTS sectors from unit L1 accessing system memory (sysmem) for reductions that hit              
lts__t_sectors_srcunit_tex_aperture_peer_op_atom_dot_cas_lookup_miss        # of LTS sectors from unit TEX accessing peer memory (peermem) for atomic CAS that missed           
lts__t_requests_srcunit_l1_op_atom                                          # of LTS requests from unit L1 for all atomics                                                      
l1tex__t_set_conflicts_pipe_tex_mem_surface                                 # of extra cycles spent on set conflicts for surface                                                
lts__t_requests_srcunit_tex_aperture_sysmem_op_read                         # of LTS requests from unit TEX accessing system memory (sysmem) for reads                          
smsp__inst_executed_op_shared_atom_dot_cas                                  # of warp instructions executed: ATOMS.CAS                                                          
gr__cycles_active                                                           # of cycles where GPU was active                                                                    
lts__t_requests_srcunit_l1_aperture_peer_op_atom                            # of LTS requests from unit L1 accessing peer memory (peermem) for all atomics                      
lts__t_requests_srcunit_tex_op_atom_lookup_miss                             # of LTS requests from unit TEX for all atomics that missed                                         
lts__t_requests_srcunit_l1_aperture_sysmem_op_write_lookup_miss             # of LTS requests from unit L1 accessing system memory (sysmem) for writes that missed              
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas_lookup_miss         # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS that missed            
smsp__inst_executed_op_generic_atom_dot_cas                                 # of warp instructions executed: ATOM.CAS, ATOMG.CAS                                                
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom                          # of LTS requests from unit L1 accessing system memory (sysmem) for all atomics                     
l1tex__t_set_conflicts_pipe_lsu_mem_global_op_atom                          # of extra cycles spent on set conflicts for global atomics                                         
l1tex__t_set_accesses_pipe_lsu_mem_local_op_st                              # of cache set accesses for local stores                                                            
lts__t_requests_srcunit_tex_aperture_peer_op_membar_lookup_hit              # of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers that hit        
lts__t_sectors_aperture_peer_op_red                                         # of LTS sectors accessing peer memory (peermem) for reductions                                     
l1tex__data_bank_reads                                                      # of data bank reads                                                                                
l1tex__t_set_conflicts_pipe_tex_mem_surface_op_atom                         # of extra cycles spent on set conflicts for surface atomics                                        
lts__t_sectors_srcunit_tex_op_write_lookup_hit                              # of LTS sectors from unit TEX for writes that hit                                                  
lts__t_sectors_srcunit_l1_aperture_sysmem_lookup_miss                       # of LTS sectors from unit L1 accessing system memory (sysmem) that missed                          
l1tex__m_l1tex2xbar_write_sectors_mem_lg_op_st                              # of sectors written to L2 for local/global stores                                                  
l1tex__t_requests_pipe_tex_mem_surface_op_red                               # of requests sent to T-Stage for surface reductions                                                
smsp__inst_executed_op_global_red                                           # of warp instructions executed: RED                                                                
l1tex__t_requests_pipe_tex_mem_surface                                      # of requests sent to T-Stage from the L1TEX X-Stage for surfaces                                   
lts__t_requests_srcunit_tex_aperture_peer_op_read_lookup_hit                # of LTS requests from unit TEX accessing peer memory (peermem) for reads that hit                  
sm__pipe_shared_cycles_active                                               # of cycles where the 'shared pipe' fp16+tensor was active                                          
lts__t_requests_srcunit_l1_op_write_lookup_hit                              # of LTS requests from unit L1 for writes that hit                                                  
lts__t_sectors_srcunit_tex_aperture_device_op_write                         # of LTS sectors from unit TEX accessing device memory (vidmem) for writes                          
lts__t_sectors_srcunit_l1_aperture_sysmem_op_read                           # of LTS sectors from unit L1 accessing system memory (sysmem) for reads                            
sm__warps_active_shader_cs_realtime                                         cumulative # of active CS warps                                                                     
lts__t_requests_srcunit_l1_op_membar_lookup_miss                            # of LTS requests from unit L1 for memory barriers that missed                                      
lts__t_sectors_srcunit_l1_aperture_sysmem_op_write_lookup_hit               # of LTS sectors from unit L1 accessing system memory (sysmem) for writes that hit                  
lts__t_requests_srcunit_l1_op_atom_lookup_miss                              # of LTS requests from unit L1 for all atomics that missed                                          
smsp__inst_executed_pipe_cbu_pred_off_all                                   # of warp instructions executed by cbu with all threads predicated off                              
smsp__sass_thread_inst_executed_op_dmul_pred_on                             # of DMUL thread instructions executed where all predicates were true                               
smsp__inst_executed_op_local_ld_pred_on_any                                 # of warp instructions executed with at least 1 thread predicated on: LDL                           
lts__t_requests_srcunit_tex_aperture_device_lookup_miss                     # of LTS requests from unit TEX accessing device memory (vidmem) that missed                        
lts__t_sectors_aperture_device_op_membar                                    # of LTS sectors accessing device memory (vidmem) for memory barriers                               
lts__t_requests_aperture_sysmem_op_atom_dot_alu                             # of LTS requests accessing system memory (sysmem) for atomic ALU (non-CAS)                         
l1tex__t_sectors_pipe_lsu_mem_global_op_atom                                # of sectors requested for global atomics                                                           
lts__t_requests_srcunit_l1_aperture_device_op_membar                        # of LTS requests from unit L1 accessing device memory (vidmem) for memory barriers                 
lts__t_sectors_srcunit_tex_aperture_peer_op_membar                          # of LTS sectors from unit TEX accessing peer memory (peermem) for memory barriers                  
lts__t_requests_srcunit_l1_aperture_sysmem_op_red_lookup_hit                # of LTS requests from unit L1 accessing system memory (sysmem) for reductions that hit             
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_cas_lookup_miss      # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic CAS that missed          
lts__t_requests_srcunit_l1_aperture_peer_op_read                            # of LTS requests from unit L1 accessing peer memory (peermem) for reads                            
lts__t_requests_srcunit_tex_aperture_peer_op_membar_lookup_miss             # of LTS requests from unit TEX accessing peer memory (peermem) for memory barriers that missed     
lts__t_sectors_op_atom_dot_cas_lookup_miss                                  # of LTS sectors for atomic CAS that missed                                                         
lts__t_sectors_srcunit_l1_aperture_sysmem_op_read_lookup_hit                # of LTS sectors from unit L1 accessing system memory (sysmem) for reads that hit                   
lts__t_requests_srcunit_l1_aperture_device_op_write_lookup_miss             # of LTS requests from unit L1 accessing device memory (vidmem) for writes that missed              
smsp__sass_sectors_mem_local                                                # of local memory sectors accessed                                                                  
l1tex__t_sectors_pipe_tex_mem_surface_op_red_lookup_miss                    # of sector requests to T-Stage that missed for surface reductions                                  
lts__t_requests_srcunit_tex_aperture_peer_op_atom_dot_alu                   # of LTS requests from unit TEX accessing peer memory (peermem) for atomic ALU (non-CAS)            
lts__t_requests_srcunit_l1_aperture_sysmem_op_read                          # of LTS requests from unit L1 accessing system memory (sysmem) for reads                           
lts__t_requests_aperture_sysmem_lookup_hit                                  # of LTS requests accessing system memory (sysmem) that hit                                         
lts__t_sectors_srcunit_l1_op_red_lookup_miss                                # of LTS sectors from unit L1 for reductions that missed                                            
smsp__warps_issue_stalled_long_scoreboard                                   cumulative # of warps waiting for a scoreboard dependency on L1TEX (local, global, surface, tex)    
                                                                            operation                                                                                           
lts__t_sectors_srcunit_tex_aperture_sysmem_lookup_hit                       # of LTS sectors from unit TEX accessing system memory (sysmem) that hit                            
l1tex__t_bytes_pipe_tex_mem_texture_op_tex_lookup_miss                      # of bytes requested that missed for TEX instructions                                               
lts__t_sectors_srcunit_tex_op_atom_dot_cas_lookup_miss                      # of LTS sectors from unit TEX for atomic CAS that missed                                           
sm__inst_issued                                                             # of warp instructions issued                                                                       
lts__t_requests_aperture_device_op_read_lookup_miss                         # of LTS requests accessing device memory (vidmem) for reads that missed                            
l1tex__t_bytes_pipe_tex_mem_surface_op_st                                   # of bytes requested for surface stores                                                             
lts__t_sectors_op_read                                                      # of LTS sectors for reads                                                                          
gpu__time_active                                                            total duration in nanoseconds                                                                       
lts__t_requests_aperture_device_op_atom_lookup_hit                          # of LTS requests accessing device memory (vidmem) for all atomics that hit                         
smsp__sass_inst_executed                                                    # of warp instructions executed                                                                     
sm__inst_executed_pipe_ipa                                                  # of warp instructions executed by ipa pipe                                                         
lts__t_sectors_srcunit_l1_aperture_peer_op_red                              # of LTS sectors from unit L1 accessing peer memory (peermem) for reductions                        
lts__t_requests_srcunit_tex_aperture_sysmem                                 # of LTS requests from unit TEX accessing system memory (sysmem)                                    
sm__inst_executed_pipe_xu                                                   # of warp instructions executed by xu pipe                                                          
lts__t_sectors_srcunit_tex_op_atom_lookup_miss                              # of LTS sectors from unit TEX for all atomics that missed                                          
l1tex__t_sectors_pipe_tex_mem_surface_lookup_miss                           # of sector requests to T-Stage that missed for surface                                             
smsp__pipe_fma_cycles_active                                                # of cycles where fma pipe was active                                                               
gpu__cycles_active                                                          # of cycles where GPU was active                                                                    
smsp__inst_executed_op_generic_st_pred_off_all                              # of warp instructions executed with all threads predicated off: ST                                 
fbpa__dram_sectors                                                          # of DRAM sectors accessed                                                                          
lts__t_requests_aperture_device_op_red_lookup_miss                          # of LTS requests accessing device memory (vidmem) for reductions that missed                       
lts__t_requests_srcunit_l1_aperture_peer_op_read_lookup_miss                # of LTS requests from unit L1 accessing peer memory (peermem) for reads that missed                
l1tex__t_set_conflicts_pipe_lsu                                             # of extra cycles spent on set conflicts for LSU pipe local/global                                  
lts__t_sectors_srcunit_tex_aperture_device_op_red_lookup_miss               # of LTS sectors from unit TEX accessing device memory (vidmem) for reductions that missed          
lts__t_sectors_srcunit_l1_aperture_sysmem_lookup_hit                        # of LTS sectors from unit L1 accessing system memory (sysmem) that hit                             
lts__t_sectors_srcunit_l1_aperture_peer_op_write_lookup_miss                # of LTS sectors from unit L1 accessing peer memory (peermem) for writes that missed                
lts__t_requests_op_red                                                      # of LTS requests for reductions                                                                    
smsp__sass_inst_executed_op_st                                              # of warp instructions executed: STG, ST, STL                                                       
lts__t_requests_srcunit_tex_aperture_peer_lookup_miss                       # of LTS requests from unit TEX accessing peer memory (peermem) that missed                         
tpc__cycles_active                                                          # of cycles where TPC was active                                                                    
l1tex__t_set_conflicts_pipe_tex_mem_surface_op_ld                           # of extra cycles spent on set conflicts for surface loads                                          
l1tex__t_sectors_pipe_tex_mem_surface_op_red                                # of sectors requested for surface reductions                                                       
lts__t_requests_srcunit_tex_aperture_device_op_read                         # of LTS requests from unit TEX accessing device memory (vidmem) for reads                          
l1tex__m_l1tex2xbar_write_sectors_mem_global_op_atom                        # of sectors read from L2 into L1TEX M-Stage for global atomics                                     
lts__t_requests_lookup_miss                                                 # of LTS requests that missed                                                                       
lts__t_sectors_srcunit_l1_aperture_sysmem_op_write                          # of LTS sectors from unit L1 accessing system memory (sysmem) for writes                           
smsp__inst_executed_op_surface_atom_dot_cas                                 # of warp instructions executed: SUATOM.CAS                                                         
lts__t_sectors_aperture_peer_op_atom_dot_alu_lookup_miss                    # of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS) that missed               
lts__t_requests_srcunit_l1_op_write_lookup_miss                             # of LTS requests from unit L1 for writes that missed                                               
sm__inst_executed_pipe_tensor                                               # of warp instructions executed by tensor pipe                                                      
smsp__cycles_in_region                                                      # of cycles in user-defined region                                                                  
l1tex__t_sectors_pipe_lsu_lookup_hit                                        # of sector requests to T-Stage with tag-hit and data-hit for LSU pipe local/global                 
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_cas                  # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic CAS                      
sm__inst_executed_pipe_fma                                                  # of warp instructions executed by fma pipe                                                         
lts__t_sectors_srcunit_l1_aperture_device_op_atom_lookup_miss               # of LTS sectors from unit L1 accessing device memory (vidmem) for all atomics that missed          
sm__inst_executed_pipe_cbu_pred_on_any                                      # of warp instructions executed by cbu pipe with at least 1 thread predicated on                    
l1tex__t_set_accesses_pipe_lsu_mem_local_op_ld                              # of cache set accesses for local loads                                                             
smsp__warps_issue_stalled_selected                                          cumulative # of warps selected by the microscheduler to issue an instruction                        
l1tex__t_bytes_pipe_tex_mem_surface_op_red_lookup_hit                       # of bytes requested with tag-hit and data-hit for surface reductions                               
l1tex__t_bytes_pipe_tex_mem_surface_op_atom_lookup_miss                     # of bytes requested that missed for surface atomics                                                
lts__t_requests_op_write_lookup_miss                                        # of LTS requests for writes that missed                                                            
smsp__sass_inst_executed_op_ld                                              # of warp instructions executed: LDG, LD, LDS                                                       
smsp__inst_executed_op_global_red_pred_on_any                               # of warp instructions executed with at least 1 thread predicated on: RED                           
lts__t_requests_srcunit_tex_aperture_device_op_membar_lookup_miss           # of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers that missed    
lts__t_sectors_op_membar_lookup_hit                                         # of LTS sectors for memory barriers that hit                                                       
lts__t_sectors_aperture_peer_op_atom_dot_alu                                # of LTS sectors accessing peer memory (peermem) for atomic ALU (non-CAS)                           
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_lookup_hit               # of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics that hit            
smsp__cycles_in_frame                                                       # of cycles in user-defined frame                                                                   
smsp__inst_executed_op_surface_ld                                           # of warp instructions executed: SULD                                                               
smsp__inst_executed_op_surface_atom_dot_cas_pred_off_all                    # of warp instructions executed with all threads predicated off: SUATOM.CAS                         
lts__t_sectors_aperture_device_op_write                                     # of LTS sectors accessing device memory (vidmem) for writes                                        
l1tex__cycles_in_frame                                                      # of cycles in user-defined frame                                                                   
l1tex__texin_requests_mem_texture                                           # of texture requests (quads) sent to TEXIN                                                         
l1tex__t_requests_pipe_tex                                                  # of requests sent to T-Stage from the L1TEX X-Stage                                                
l1tex__t_bytes_pipe_lsu_lookup_miss                                         # of bytes requested that missed for LSU pipe local/global                                          
l1tex__t_set_accesses_pipe_tex                                              # of cache set accesses for TEX pipe                                                                
lts__t_sectors_srcunit_l1_aperture_device_op_red_lookup_hit                 # of LTS sectors from unit L1 accessing device memory (vidmem) for reductions that hit              
smsp__sass_inst_executed_op_global_st                                       # of warp instructions executed: STG, ST                                                            
lts__t_sectors_srcunit_l1_aperture_peer_op_red_lookup_miss                  # of LTS sectors from unit L1 accessing peer memory (peermem) for reductions that missed            
lts__t_sectors_op_atom_lookup_miss                                          # of LTS sectors for all atomics that missed                                                        
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_hit                       # of LTS sectors from unit TEX for atomic ALU (non-CAS) that hit                                    
l1tex__t_set_accesses_pipe_tex_mem_surface_op_red                           # of cache set accesses for surface reductions                                                      
lts__t_requests_srcunit_tex_aperture_device_op_membar                       # of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers                
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_st                        # of wavefronts sent to Data-Stage from T-Stage for global stores                                   
l1tex__t_bytes_pipe_tex_mem_texture_lookup_miss                             # of bytes requested that missed for texture                                                        
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_atom                      # of wavefronts sent to Data-Stage from T-Stage for global atomics                                  
lts__t_sectors_aperture_device_op_read_lookup_hit                           # of LTS sectors accessing device memory (vidmem) for reads that hit                                
lts__t_requests_srcunit_l1_op_atom_dot_cas                                  # of LTS requests from unit L1 for atomic CAS                                                       
l1tex__t_output_wavefronts_pipe_tex_realtime                                # of wavefronts sent to Data-Stage from T-Stage for texture and surface instructions                
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st                       # of wavefronts sent to Data-Stage from T-Stage for surface stores                                  
smsp__l1tex_lsuin_requests                                                  # of local/global/shared/attribute/S2R/SHFL instructions sent to LSU                                
lts__t_requests_srcunit_l1_op_red                                           # of LTS requests from unit L1 for reductions                                                       
lts__t_sectors_srcunit_tex_aperture_device_op_atom_dot_alu_lookup_miss      # of LTS sectors from unit TEX accessing device memory (vidmem) for atomic ALU (non-CAS) that missed
l1tex__m_l1tex2xbar_write_bytes_mem_surface_op_atom                         # of bytes written to L2# of sectors written to L2 for surface atomics                              
lts__t_sectors_srcunit_tex_aperture_sysmem_op_membar                        # of LTS sectors from unit TEX accessing system memory (sysmem) for memory barriers                 
l1tex__t_set_accesses_pipe_tex_mem_surface                                  # of cache set accesses for surface                                                                 
l1tex__t_bytes_pipe_lsu_mem_local_op_st_lookup_miss                         # of bytes requested that missed for local stores                                                   
lts__t_requests_aperture_peer_op_write_lookup_hit                           # of LTS requests accessing peer memory (peermem) for writes that hit                               
lts__t_sectors_aperture_sysmem_op_red_lookup_hit                            # of LTS sectors accessing system memory (sysmem) for reductions that hit                           
lts__t_sectors_srcunit_tex_op_atom_dot_alu_lookup_miss                      # of LTS sectors from unit TEX for atomic ALU (non-CAS) that missed                                 
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom_dot_alu                  # of LTS sectors from unit TEX accessing system memory (sysmem) for atomic ALU (non-CAS)            
lts__t_requests_aperture_peer_op_membar_lookup_hit                          # of LTS requests accessing peer memory (peermem) for memory barriers that hit                      
l1tex__t_set_conflicts_pipe_lsu_mem_global_op_red                           # of extra cycles spent on set conflicts for global reductions                                      
smsp__sass_inst_executed_op_shared_ld                                       # of warp instructions executed: LDS, LD                                                            
lts__t_sectors_aperture_peer_op_red_lookup_miss                             # of LTS sectors accessing peer memory (peermem) for reductions that missed                         
l1tex__m_xbar2l1tex_read_sectors                                            # of sectors read from L2 into L1TEX M-Stage                                                        
lts__t_requests_srcunit_tex_aperture_peer                                   # of LTS requests from unit TEX accessing peer memory (peermem)                                     
l1tex__t_requests_pipe_lsu_mem_global_op_atom                               # of requests sent to T-Stage for global atomics                                                    
lts__t_sectors_srcunit_l1_aperture_sysmem_op_atom_dot_cas                   # of LTS sectors from unit L1 accessing system memory (sysmem) for atomic CAS                       
lts__t_sectors_srcunit_l1_aperture_device_op_membar                         # of LTS sectors from unit L1 accessing device memory (vidmem) for memory barriers                  
lts__t_requests_srcunit_l1_aperture_device_op_read                          # of LTS requests from unit L1 accessing device memory (vidmem) for reads                           
lts__t_requests_srcunit_l1_aperture_peer_op_red                             # of LTS requests from unit L1 accessing peer memory (peermem) for reductions                       
l1tex__t_set_conflicts_pipe_lsu_mem_global_op_ld                            # of extra cycles spent on set conflicts for global loads                                           
smsp__sass_inst_executed_op_global_ld                                       # of warp instructions executed: LDG, LD                                                            
smsp__tex_requests                                                          # of TEX requests sent from SMSP                                                                    
lts__t_requests_srcunit_l1_aperture_sysmem_op_red_lookup_miss               # of LTS requests from unit L1 accessing system memory (sysmem) for reductions that missed          
l1tex__t_output_wavefronts_pipe_lsu_mem_global_op_red                       # of wavefronts sent to Data-Stage from T-Stage for global reductions                               
l1tex__m_l1tex2xbar_write_sectors_mem_surface_op_red                        # of sectors written to L2 for surface reductions                                                   
l1tex__t_bytes_pipe_lsu_mem_local_op_st                                     # of bytes requested for local stores                                                               
smsp__sass_thread_inst_executed_op_control_pred_on                          # of control-flow thread instructions executed where all predicates were true                       
lts__t_sectors_srcunit_tex_aperture_device_op_atom_lookup_hit               # of LTS sectors from unit TEX accessing device memory (vidmem) for all atomics that hit            
lts__t_sectors_srcunit_tex_op_red                                           # of LTS sectors from unit TEX for reductions                                                       
l1tex__t_set_accesses_pipe_tex_mem_surface_op_ld                            # of cache set accesses for surface loads                                                           
