Device TU106
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
lts__t_requests_srcunit_tex_aperture_device                                 # of LTS requests from unit TEX accessing device memory (vidmem)                                    
lts__t_sectors_aperture_device_op_write_lookup_hit                          # of LTS sectors accessing device memory (vidmem) for writes that hit                               
lts__t_sectors_srcunit_tex_aperture_sysmem_op_atom                          # of LTS sectors from unit TEX accessing system memory (sysmem) for all atomics                     
lts__t_bytes_equiv_l1sectormiss_pipe_tex_mem_surface_op_atom                # of bytes requested for surface atomics                                                            
lts__t_sectors_srcunit_tex_aperture_peer_op_atom                            # of LTS sectors from unit TEX accessing peer memory (peermem) for all atomics                      
lts__t_requests_srcunit_tex_aperture_device_op_red_lookup_hit               # of LTS requests from unit TEX accessing device memory (vidmem) for reductions that hit            
lts__t_requests_srcunit_tex_aperture_device_op_membar_lookup_hit            # of LTS requests from unit TEX accessing device memory (vidmem) for memory barriers that hit       
smsp__sass_thread_inst_executed_op_ffma_pred_on                             # of FFMA thread instructions executed where all predicates were true                               
smsp__warps_issue_stalled_imc_miss                                          cumulative # of warps waiting for an immediate constant cache (IMC) miss                            
l1tex__data_pipe_lsu_wavefronts_mem_lg_cmd_write                            # of local/global write wavefronts processed by Data-Stage                                          
smsp__thread_inst_executed_pred_on                                          # of thread instructions executed where guard predicate was true                                    
l1tex__t_output_wavefronts_pipe_lsu_mem_local_op_ld                         # of wavefronts sent to Data-Stage from T-Stage for local loads                                     
lts__t_bytes_equiv_l1sectormiss_pipe_lsu_mem_local_op_st                    # of bytes requested for local stores                                                               
lts__t_sectors_srcunit_l1_aperture_device_op_red                            # of LTS sectors from unit L1 accessing device memory (vidmem) for reductions                       
lts__t_requests_aperture_sysmem_op_membar_lookup_hit                        # of LTS requests accessing system memory (sysmem) for memory barriers that hit                     
lts__t_requests_srcunit_tex_aperture_peer_op_write_lookup_hit               # of LTS requests from unit TEX accessing peer memory (peermem) for writes that hit                 
dram__sectors_write                                                         # of sectors written to DRAM                                                                        
lts__cycles_active                                                          # of cycles where LTS was active                                                                    
sm__mio_inst_issued                                                         # of instructions issued from MIOC to MIO                                                           
smsp__inst_executed_op_surface_red                                          # of warp instructions executed: SURED                                                              
l1tex__lsuin_requests                                                       # of local/global/shared/attribute instructions sent to LSU                                         
lts__t_requests_srcunit_tex_aperture_peer_op_write_lookup_miss              # of LTS requests from unit TEX accessing peer memory (peermem) for writes that missed              
smsp__inst_executed_op_surface_red_pred_on_any                              # of warp instructions executed with at least 1 thread predicated on: SURED                         
